;Raw_Features;X_List;field_id;suffix;title;New_Title_for_plot;New_Category_for_plot;title_category;main_category;encoding_id;notes
0;Able_to_pay_rent/mortgage_as_an_adult-0.0;Able_to_pay_rentmortgage_as_an_adult-0.0;20525.0;0.0;Able to pay rent/mortgage as an adult;Able to pay rent/mortgage as an adult;Mental health and socio-affective factors;Traumatic events;145.0;532.0;"Question asked: ""Since I was sixteen... There was money to pay the rent or mortgage when I needed it"""
1;Age;Age;21003.0;-1.0;Age;Age;Not a feature;Reception;100024.0;0.0;Age when attended assessment centre
2;Age_COPD_(Chronic_Obstructive_Pulmonary_Disease)_diagnosed_by_doctor-0.0;Age_COPD_Chronic_Obstructive_Pulmonary_Disease_diagnosed_by_doctor-0.0;22150.0;0.0;Age COPD (Chronic Obstructive Pulmonary Disease) diagnosed by doctor;Chronic Obstructive Pulmonary Disease : diagnostic age;Body injuries and illnesses;Medical information;132.0;0.0;User was asked the age at which doctor diagnosed COPD (Chronic Obstructive Pulmonary Disease)
3;Age_angina_diagnosed-2.0;Age_angina_diagnosed-2.0;3627.0;2.0;Age angina diagnosed;Angina : diagnostic age;Cardiovascular health;Medical conditions;100044.0;100291.0;"ACE touchscreen question ""What was your age when the angina was first diagnosed?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 40 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F3627~ was collected from participants who indicated they were told by a doctor that they have had an angina, as defined by their answers to ~F6150~"
4;Age_asthma_diagnosed-2.0;Age_asthma_diagnosed-2.0;3786.0;2.0;Age asthma diagnosed;Asthma : diagnostic age;Body injuries and illnesses;Medical conditions;100044.0;100291.0;"ACE touchscreen question ""What was your age when the asthma was first diagnosed?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 10 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F3786~ was collected from participants who indicated they were told by a doctor that they have had asthma, as defined by their answers to ~F6152~"
5;Age_asthma_diagnosed_by_doctor-0.0;Age_asthma_diagnosed_by_doctor-0.0;22147.0;0.0;Age asthma diagnosed by doctor;Asthma : diagnostic age by doctor;Body injuries and illnesses;Medical information;132.0;0.0;User was asked the age at which doctor diagnosed asthma
6;Age_at_first_episode_of_depression-0.0;Age_at_first_episode_of_depression-0.0;20433.0;0.0;Age at first episode of depression;Depression : age at first episode;Mental health and socio-affective factors;Depression;138.0;513.0;"Question asked: ""About how old were you the FIRST time you had a period of two weeks like this? (Whether or not you received any help for it.)"" <p>Question was asked when ~F20446~ was Yes or ~F20441~ was Yes."
7;Age_at_last_episode_of_depression-0.0;Age_at_last_episode_of_depression-0.0;20434.0;0.0;Age at last episode of depression;Depression : age at last episode;Mental health and socio-affective factors;Depression;138.0;513.0;"Question asked: ""About how old were you the LAST time you had a period of two weeks like this? (Whether or not you received any help for it.)"" <p>Question was asked when ~F20446~ was Yes or ~F20441~ was Yes."
8;Age_cataract_diagnosed-2.0;Age_cataract_diagnosed-2.0;4700.0;2.0;Age cataract diagnosed;Cataract : diagnostic age;Eye/Vision impairment;Eyesight;100041.0;100291.0;"ACE touchscreen question ""What was your age when a cataract was first diagnosed?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 40 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F4700~ was collected from participants who indicated they have cataract, as defined by their answers to ~F6148~"
9;Age_chronic_bronchitis_diagnosed_by_doctor-0.0;Age_chronic_bronchitis_diagnosed_by_doctor-0.0;22149.0;0.0;Age chronic bronchitis diagnosed by doctor;Chronic bronchitis : diagnostic age;Body injuries and illnesses;Medical information;132.0;0.0;User was asked the age at which doctor diagnosed chronic bronchitis
